person.name,MoviesCount
Keanu Reeves,28
Carrie-Anne Moss,12
Laurence Fishburne,12
Hugo Weaving,20
Emil Eifrem,4
Charlize Theron,8
Al Pacino,4
Tom Cruise,12
Jack Nicholson,20
Demi Moore,4
Kevin Bacon,12
Kiefer Sutherland,8
Noah Wyle,4
Cuba Gooding Jr.,16
Kevin Pollak,4
J.T. Walsh,8
James Marshall,4
Christopher Guest,4
Aaron Sorkin,4
Kelly McGillis,4
Val Kilmer,4
Anthony Edwards,4
Tom Skerritt,4
Meg Ryan,20
Renee Zellweger,4
Kelly Preston,4
Jerry O'Connell,8
Jay Mohr,4
Bonnie Hunt,8
Regina King,4
Jonathan Lipnicki,4
River Phoenix,4
Corey Feldman,4
Wil Wheaton,4
John Cusack,4
Marshall Bell,8
Helen Hunt,12
Greg Kinnear,8
Annabella Sciorra,4
Max von Sydow,8
Werner Herzog,4
Robin Williams,12
Ethan Hawke,4
Rick Yune,8
James Cromwell,8
Parker Posey,4
Dave Chappelle,4
Steve Zahn,8
Tom Hanks,48
Rita Wilson,4
Bill Pullman,4
Victor Garber,4
Rosie O'Donnell,8
Nathan Lane,8
Billy Crystal,4
Carrie Fisher,4
Bruno Kirby,4
Liv Tyler,4
Brooke Langton,4
Gene Hackman,12
Orlando Jones,4
Christian Bale,4
Zach Grenier,8
Richard Harris,4
Clint Eastwood,4
Takeshi Kitano,4
Dina Meyer,4
Ice-T,4
Halle Berry,4
Jim Broadbent,4
Ian McKellen,4
Audrey Tautou,4
Paul Bettany,4
Natalie Portman,4
Stephen Rea,4
John Hurt,4
Ben Miles,12
Emile Hirsch,4
John Goodman,4
Susan Sarandon,4
Matthew Fox,4
Christina Ricci,4
Rain,8
Naomie Harris,4
Michael Clarke Duncan,4
David Morse,4
Sam Rockwell,8
Gary Sinise,8
Patricia Clarkson,4
Frank Langella,4
Michael Sheen,4
Oliver Platt,8
Danny DeVito,8
John C. Reilly,4
Ed Harris,4
Bill Paxton,12
Philip Seymour Hoffman,8
Diane Keaton,4
Julia Roberts,4
Madonna,4
Geena Davis,4
Lori Petty,4